Subject / Topic,Complexity (1-10),Relevance (1-10),Study Time (mins),Learning Method,Stress Level,Sleep Hours,Recall Score (1hr),Recall Score (1day),Recall Score (1week),Days Since Learning,Forgetfulness Probability (%)
Moral Philosophy - Applications,6,6,83,Video,4,7.9,10.0,9.8,8.3,17,18.5
Logic Circuits - Workshop,4,9,77,Video,6,7.7,10.0,10.0,9.2,11,5.7
Quantum Computing - Advanced,6,8,92,Video,4,7.7,10.0,10.0,9.3,18,4.3
Cognitive Robotics - Theory,3,5,60,Video,1,9.0,10.0,10.0,8.9,27,8.9
Dream Analysis - Applications,6,8,89,Audio,8,7.5,10.0,10.0,8.9,15,7.9
Molecular Biology - Concepts,5,5,72,Text,6,7.4,10.0,10.0,9.5,16,6.7
Ethical Hacking - Concepts,7,6,98,Video,9,7.4,10.0,10.0,8.8,28,16.1
Interstellar Politics - Intro,8,6,114,Practical,4,8.4,10.0,10.0,9.1,10,12.4
Zero-Gravity Engineering - Lab,4,8,74,Audio,8,7.1,10.0,10.0,8.5,21,6.0
Zero-Gravity Engineering - Workshop,8,7,112,Video,10,6.7,10.0,9.0,8.2,13,23.1
Zero-Gravity Engineering - Advanced,7,5,93,Video,10,6.6,10.0,10.0,8.9,14,14.5
Quantum Entanglement - Advanced,6,9,86,Text,9,7.1,10.0,10.0,8.8,21,9.0
Psychoacoustics - Intro,4,7,71,Video,1,9.0,10.0,10.0,8.8,13,15.5
Political Philosophy - Theory,7,6,94,Practical,7,7.0,10.0,10.0,9.2,12,13.2
Digital Marketing - Lab,5,5,83,Video,1,9.0,10.0,10.0,9.3,18,5.5
Marine Biology - Applications,3,7,53,Audio,1,9.0,10.0,9.9,8.8,18,8.6
Nanorobotics - Advanced,9,9,114,Text,9,7.0,10.0,9.7,8.7,21,21.0
Fictional Languages - Intro,3,7,53,Text,6,8.2,10.0,10.0,8.6,8,23.1
Creative Writing - Concepts,5,9,77,Practical,3,8.0,10.0,10.0,8.9,22,15.2
Extraterrestrial Agriculture - Concepts,8,6,102,Practical,2,8.4,10.0,10.0,8.8,11,18.2
Internet of Things - Lab,3,5,57,Practical,3,8.9,10.0,10.0,9.3,12,7.8
Phonetics - Lab,5,6,75,Video,6,7.0,10.0,10.0,8.7,24,18.4
Bioinformatics - Lab,6,5,86,Video,5,8.9,10.0,10.0,8.7,15,2.2
Creative Writing - Advanced,8,7,113,Video,6,7.4,10.0,8.9,7.8,16,25.6
Syntax and Semantics - Lab,8,6,109,Practical,4,7.6,10.0,10.0,9.1,10,12.4
Agile Methodologies - Intro,9,5,123,Text,6,7.3,10.0,10.0,8.9,21,14.5
Game Development - Theory,5,9,91,Practical,8,6.6,10.0,9.5,8.8,22,14.3
Behavioral Economics - Concepts,3,5,51,Audio,4,8.4,10.0,10.0,9.7,21,5.3
Mathematical Music Theory - Applications,9,6,117,Video,8,7.2,10.0,9.9,9.7,27,0.3
Behavioral Economics - Concepts,9,6,114,Video,10,6.0,10.0,10.0,9.4,27,16.2
Digital Humanities - Concepts,6,7,86,Practical,10,6.5,10.0,10.0,9.1,29,17.2
Phonetics - Lab,8,9,111,Practical,10,6.1,10.0,10.0,8.6,15,25.9
Political Philosophy - Theory,5,5,88,Video,10,7.0,10.0,9.8,8.8,28,9.2
Relativity Theory - Concepts,5,6,83,Text,3,8.1,10.0,9.3,8.1,26,22.8
Relativity Theory - Concepts,9,5,122,Video,4,9.0,10.0,10.0,9.0,19,14.3
Alien Anthropology - Concepts,8,8,115,Video,9,6.8,10.0,9.4,8.6,11,3.8
Lunar Architecture - Advanced,8,9,117,Audio,7,7.7,10.0,10.0,9.1,11,9.0
Behavioral Neuroscience - Intro,6,9,98,Practical,7,6.8,10.0,10.0,9.2,27,9.7
Neural Networks - Lab,8,8,112,Video,3,8.5,10.0,10.0,9.3,7,8.9
Immunology - Advanced,4,9,65,Audio,7,8.4,10.0,10.0,8.8,13,8.0
Forensic Science - Advanced,3,8,58,Video,4,8.0,10.0,10.0,9.1,12,14.3
Quantum Entanglement - Workshop,8,5,99,Video,5,8.2,10.0,9.6,8.9,25,12.8
Bioinformatics - Theory,4,8,73,Text,5,7.8,10.0,10.0,8.9,14,8.8
Compiler Design - Workshop,6,7,85,Practical,3,8.4,10.0,10.0,8.7,20,16.2
Holographic Computing - Theory,6,8,86,Video,5,8.6,10.0,9.6,8.9,12,6.4
Computational Linguistics - Concepts,7,5,101,Text,8,7.8,10.0,9.7,8.4,15,18.0
Philosophy of Mind - Theory,7,9,90,Practical,8,6.2,10.0,9.6,8.6,29,13.6
Phonetics - Advanced,6,7,95,Practical,9,6.5,10.0,10.0,8.7,14,13.2
Computational Linguistics - Workshop,7,8,102,Text,5,7.5,10.0,9.5,8.1,15,15.7
Photosynthesis - Advanced,5,5,77,Video,5,8.2,10.0,9.4,8.8,28,6.6
Artificial Consciousness - Intro,4,7,69,Practical,3,8.8,10.0,9.8,9.3,14,1.3
Fictional Languages - Theory,6,7,86,Practical,10,6.1,10.0,9.5,8.7,18,6.8
Epidemiology - Concepts,5,7,93,Practical,3,8.3,10.0,10.0,9.1,8,9.6
Zero-Gravity Engineering - Workshop,3,8,55,Video,7,7.5,10.0,9.3,8.2,23,20.1
Creative Writing - Theory,3,5,61,Text,3,8.5,10.0,10.0,8.9,15,12.9
Nanorobotics - Applications,7,5,98,Text,8,7.6,10.0,9.5,7.9,16,17.5
UX Design - Workshop,7,5,100,Video,3,8.2,10.0,9.9,9.5,28,0.0
Quantum Computing - Theory,5,6,82,Practical,4,8.6,10.0,10.0,8.9,19,13.2
Dream Analysis - Intro,3,9,62,Audio,7,7.3,10.0,9.5,8.2,16,20.0
Virtual Reality Ethics - Advanced,8,5,108,Text,6,8.2,10.0,10.0,9.3,25,12.5
Quantum Theology - Intro,6,6,84,Video,6,7.9,10.0,9.6,8.7,9,7.2
Holographic Computing - Workshop,8,6,106,Audio,6,7.0,9.8,9.4,8.0,14,19.2
Pharmacology - Lab,4,7,67,Video,5,7.5,10.0,10.0,9.5,19,7.3
Metallurgy - Advanced,9,9,117,Audio,8,6.6,10.0,9.7,8.6,9,6.5
Cognitive Robotics - Intro,7,7,94,Video,5,7.9,10.0,10.0,8.6,16,13.2
Blockchain Security - Concepts,5,9,82,Text,10,6.3,10.0,9.5,9.1,12,0.5
Extraterrestrial Agriculture - Intro,8,7,103,Practical,10,6.6,10.0,10.0,9.2,12,5.4
Bioinformatics - Applications,7,8,99,Text,10,7.2,10.0,9.2,7.7,11,29.9
Educational Psychology - Workshop,5,9,71,Text,8,7.4,10.0,10.0,8.8,13,22.2
Extraterrestrial Agriculture - Concepts,3,6,65,Video,6,7.6,10.0,10.0,8.9,17,11.7
Creative Writing - Workshop,7,6,96,Practical,5,7.7,10.0,9.5,8.2,26,19.8
Extraterrestrial Agriculture - Concepts,9,9,116,Text,6,8.2,10.0,9.8,9.1,21,9.2
Compiler Design - Concepts,8,7,105,Text,10,6.8,10.0,10.0,9.1,18,13.6
Phonetics - Lab,5,8,88,Video,7,8.3,10.0,10.0,9.1,12,13.3
Relativity Theory - Applications,5,8,86,Video,9,7.2,10.0,9.5,8.4,7,8.5
Cognitive Robotics - Concepts,8,5,110,Audio,7,7.3,10.0,10.0,9.1,9,11.9
UX Design - Theory,9,9,117,Audio,7,7.9,10.0,10.0,9.6,29,0.0
Quantum Computing - Lab,7,8,110,Practical,5,8.9,10.0,10.0,8.9,18,16.9
Creative Writing - Applications,4,7,72,Text,6,7.4,10.0,9.8,9.0,22,15.7
Extraterrestrial Agriculture - Intro,6,7,88,Audio,8,6.7,10.0,9.7,8.6,7,6.1
Computational Linguistics - Concepts,9,6,117,Practical,8,6.6,10.0,10.0,9.0,21,15.1
Extraterrestrial Agriculture - Advanced,3,8,64,Text,3,8.5,10.0,10.0,9.2,10,2.5
Sustainable Agriculture - Applications,8,8,108,Text,8,6.8,10.0,10.0,9.3,19,6.2
Metallurgy - Concepts,9,7,113,Video,8,7.1,10.0,10.0,8.4,29,9.7
Cognitive Robotics - Workshop,8,6,110,Video,5,7.9,10.0,10.0,8.5,18,17.5
Antimatter - Applications,7,8,101,Video,10,6.8,10.0,9.4,8.4,16,23.9
Behavioral Neuroscience - Intro,7,7,100,Text,6,8.2,10.0,9.9,8.6,30,13.1
Psychoacoustics - Intro,4,6,72,Video,8,7.3,10.0,10.0,8.8,8,9.3
Digital Archaeology - Theory,3,6,58,Audio,5,8.1,10.0,9.5,8.3,24,16.8
Cellular Automata - Intro,7,7,100,Audio,6,7.8,10.0,9.8,8.8,15,19.3
Immunology - Advanced,4,6,69,Video,5,7.6,10.0,9.9,8.6,18,19.0
Speech Recognition - Lab,8,6,103,Video,2,9.0,10.0,9.8,8.5,24,21.9
Alien Anthropology - Intro,6,5,93,Audio,5,8.1,10.0,9.7,8.4,20,15.8
3D Animation - Theory,5,6,82,Video,1,8.1,10.0,10.0,9.6,13,0.0
Urban Planning - Concepts,6,8,94,Video,6,7.9,10.0,10.0,9.0,18,1.0
Sustainable Agriculture - Theory,6,6,84,Text,6,7.6,10.0,10.0,8.4,14,15.0
Evolutionary Biology - Theory,6,8,87,Practical,6,8.0,10.0,10.0,8.8,21,5.0
3D Animation - Theory,6,7,95,Video,9,7.1,10.0,9.7,9.0,17,13.6
Urban Planning - Applications,5,6,77,Audio,5,8.6,10.0,9.9,9.4,27,4.9
3D Animation - Lab,8,7,118,Video,8,6.7,10.0,10.0,9.0,8,0.9
Remote Sensing - Advanced,3,9,52,Practical,5,7.2,10.0,10.0,9.6,28,5.7
Quantum Computing - Theory,3,6,57,Video,5,8.7,10.0,10.0,8.9,13,7.3
Financial Markets - Intro,8,7,107,Practical,7,7.9,10.0,10.0,9.0,21,9.0
Zero-Gravity Engineering - Intro,4,9,73,Text,7,7.1,10.0,10.0,9.2,19,13.2
Cognitive Robotics - Workshop,4,8,78,Text,8,6.9,10.0,9.9,8.5,19,21.3
Syntax and Semantics - Lab,7,8,101,Video,7,7.4,10.0,10.0,9.1,13,15.5
Lunar Architecture - Workshop,6,8,76,Practical,9,6.8,10.0,9.9,9.1,27,12.5
Logic Circuits - Advanced,6,8,89,Practical,6,7.3,10.0,10.0,8.7,16,21.9
Astrophysics - Concepts,5,8,80,Text,9,7.2,10.0,10.0,8.9,20,9.5
AI Narratives - Concepts,6,5,91,Video,7,7.5,10.0,10.0,9.1,21,8.1
Ethical Hacking - Lab,5,7,79,Video,5,7.3,10.0,10.0,9.4,28,2.6
3D Animation - Theory,7,9,106,Video,9,6.8,10.0,9.5,8.5,16,15.4
Phonetics - Workshop,9,9,115,Text,10,6.8,10.0,9.5,8.8,15,12.0
AI Narratives - Workshop,4,6,64,Video,6,7.4,10.0,10.0,8.8,14,12.9
Logic Circuits - Workshop,4,7,66,Practical,1,9.0,10.0,10.0,9.4,16,5.9
Syntax and Semantics - Workshop,7,5,113,Text,3,8.7,10.0,10.0,8.7,22,17.7
Metallurgy - Concepts,7,5,99,Video,5,7.0,10.0,10.0,8.6,15,14.4
Game Development - Workshop,8,7,115,Video,8,7.0,10.0,10.0,9.1,7,8.6
Agile Methodologies - Workshop,6,8,95,Practical,8,7.3,10.0,9.0,7.8,17,24.0
Cognitive Robotics - Intro,4,8,61,Video,5,8.1,10.0,10.0,8.7,8,6.7
Extraterrestrial Agriculture - Theory,3,7,59,Text,6,8.4,10.0,10.0,9.2,14,2.0
Financial Markets - Applications,7,9,105,Audio,3,9.0,10.0,10.0,8.8,12,10.8
3D Animation - Intro,4,8,84,Practical,3,8.4,10.0,10.0,8.8,7,15.1
Pharmacology - Intro,4,6,75,Audio,4,8.3,10.0,10.0,9.2,17,8.2
Ethical Hacking - Advanced,5,5,78,Audio,9,7.0,10.0,10.0,8.7,16,11.5
Immunology - Lab,9,8,127,Video,10,5.2,10.0,10.0,8.8,23,12.8
Relativity Theory - Theory,4,9,67,Text,5,7.2,10.0,10.0,8.7,23,18.8
Alien Anthropology - Lab,7,8,94,Audio,10,6.5,8.9,9.0,7.8,25,16.5
Computational Linguistics - Applications,9,8,123,Practical,6,8.6,10.0,10.0,8.6,12,14.6
Phonetics - Intro,9,5,112,Text,5,7.9,10.0,9.9,8.8,24,6.3
Digital Archaeology - Intro,6,6,87,Text,6,8.2,10.0,10.0,9.1,30,4.7
Philosophy of Mind - Concepts,4,6,77,Video,5,7.3,10.0,10.0,9.1,17,9.5
Biomechanics - Intro,3,9,63,Practical,6,7.5,10.0,10.0,9.1,16,13.2
UX Design - Concepts,7,7,95,Text,6,7.3,10.0,10.0,9.1,9,10.1
Game Development - Workshop,6,7,90,Audio,7,7.5,10.0,9.5,8.2,23,21.3
Digital Archaeology - Concepts,8,7,109,Text,7,7.8,10.0,10.0,9.0,21,11.2
Holographic Computing - Lab,6,9,94,Text,9,6.7,10.0,10.0,8.9,16,18.0
Bioinformatics - Theory,7,8,101,Practical,9,6.6,10.0,10.0,9.6,28,7.2
Lunar Architecture - Concepts,8,6,110,Practical,5,8.7,10.0,9.9,8.8,21,11.5
Speech Recognition - Intro,6,6,89,Video,3,9.0,10.0,10.0,8.9,22,15.9
Relativity Theory - Intro,3,8,54,Text,7,7.2,10.0,10.0,8.9,26,11.3
Digital Humanities - Applications,4,6,76,Video,2,8.9,10.0,10.0,9.5,12,8.0
Extraterrestrial Agriculture - Intro,7,6,102,Text,8,7.2,10.0,9.9,9.1,18,13.8
Fictional Languages - Lab,4,7,68,Audio,4,8.5,10.0,9.9,9.4,14,13.9
Remote Sensing - Lab,4,7,68,Audio,6,7.8,10.0,9.8,9.0,20,18.9
UX Design - Advanced,6,5,89,Video,4,7.3,10.0,9.7,8.7,10,22.7
Molecular Biology - Intro,7,5,95,Video,6,7.9,10.0,10.0,9.0,26,15.1
Ethical Hacking - Advanced,4,6,67,Audio,7,8.4,10.0,9.8,8.9,28,10.6
Forensic Science - Concepts,5,7,84,Practical,5,7.2,10.0,9.7,8.8,8,13.8
Metallurgy - Concepts,3,5,52,Video,2,8.1,10.0,10.0,9.1,9,5.8
Geospatial Analysis - Concepts,8,5,119,Video,4,7.7,10.0,9.6,9.0,24,7.8
Game Development - Workshop,6,7,90,Audio,1,9.0,10.0,10.0,9.2,18,8.9
Virtual Reality Ethics - Concepts,7,5,96,Video,4,7.4,10.0,9.7,8.5,15,18.3
Synthetic Biology - Concepts,7,8,98,Practical,9,7.4,10.0,9.6,8.2,26,14.8
Compiler Design - Lab,6,8,92,Practical,3,8.1,10.0,10.0,9.0,18,12.2
Fictional Languages - Advanced,4,7,67,Audio,4,8.7,10.0,9.9,8.8,19,4.6
Pharmacology - Workshop,6,7,93,Video,6,7.4,10.0,9.9,9.0,9,8.6
Game Development - Intro,9,5,114,Practical,7,7.0,10.0,10.0,9.2,24,12.1
Cellular Automata - Lab,7,6,96,Audio,4,8.5,10.0,10.0,9.2,20,7.5
Educational Psychology - Intro,5,9,81,Audio,9,7.1,10.0,9.6,7.9,23,28.0
Moral Philosophy - Concepts,9,8,116,Practical,10,6.1,10.0,9.1,8.4,8,19.5
AI Narratives - Applications,4,8,79,Video,4,8.4,10.0,9.3,8.1,26,9.8
Cognitive Robotics - Applications,8,7,114,Text,7,7.7,10.0,9.8,9.2,17,9.7
UX Design - Concepts,6,6,92,Text,4,7.4,10.0,9.9,8.2,18,18.1
Immunology - Theory,7,7,100,Video,7,7.4,10.0,9.7,8.4,26,22.4
Financial Markets - Workshop,8,5,108,Video,9,6.8,10.0,10.0,8.9,13,4.5
Holographic Computing - Workshop,7,6,98,Practical,7,6.5,10.0,9.5,8.0,20,24.9
Quantum Entanglement - Concepts,7,5,95,Text,9,6.8,10.0,10.0,8.9,22,18.4
Molecular Biology - Applications,5,8,81,Audio,6,7.7,10.0,10.0,8.8,25,19.5
Mythology - Workshop,4,7,63,Video,2,9.0,10.0,10.0,8.6,20,13.5
Photosynthesis - Theory,6,7,97,Practical,5,8.2,10.0,10.0,9.0,29,14.6
3D Animation - Theory,4,9,70,Video,7,8.1,10.0,9.6,8.6,10,16.0
Ethical Hacking - Lab,7,6,106,Audio,6,7.9,10.0,10.0,9.0,15,19.4
Creative Writing - Concepts,5,8,84,Audio,6,7.2,10.0,9.8,9.1,13,13.4
Remote Sensing - Applications,8,9,109,Text,7,7.2,10.0,9.8,8.9,24,12.1
Internet of Things - Theory,9,9,122,Practical,7,7.9,10.0,10.0,9.1,15,10.3
Metallurgy - Lab,5,7,77,Text,8,7.5,10.0,10.0,8.7,15,7.9
Computational Linguistics - Applications,7,6,99,Video,10,6.9,10.0,9.0,8.3,8,14.4
Computational Linguistics - Applications,4,7,66,Audio,4,8.7,10.0,10.0,8.8,30,11.9
Game Development - Applications,8,6,118,Text,5,8.2,10.0,10.0,8.9,29,14.8
Dream Analysis - Lab,4,9,70,Video,8,7.2,10.0,10.0,9.4,23,0.0
Zero-Gravity Engineering - Intro,5,5,84,Video,8,7.0,10.0,10.0,8.8,21,14.2
Extraterrestrial Agriculture - Applications,8,8,107,Text,10,7.0,10.0,9.5,8.3,18,13.4
Remote Sensing - Concepts,3,9,67,Audio,9,7.0,10.0,10.0,9.2,21,1.2
Quantum Entanglement - Applications,5,7,76,Video,8,6.1,10.0,10.0,9.0,23,5.4
Philosophy of Mind - Lab,8,8,109,Video,9,7.0,10.0,9.3,8.6,30,14.6
Photosynthesis - Intro,5,9,77,Text,9,7.3,10.0,9.9,8.4,19,18.1
Ethical Hacking - Theory,6,6,91,Video,6,7.3,10.0,9.4,8.4,16,18.1
Nanorobotics - Intro,5,7,76,Video,6,7.4,10.0,9.7,8.7,27,11.9
Logic Circuits - Advanced,9,9,122,Practical,10,6.5,10.0,9.5,8.4,25,14.5
Dream Analysis - Intro,3,6,61,Video,5,8.7,10.0,10.0,8.8,22,12.8
Holographic Computing - Intro,8,6,109,Video,5,7.8,10.0,8.7,7.6,9,15.7
Digital Marketing - Workshop,8,6,104,Video,8,6.9,10.0,10.0,9.0,20,10.8
Interstellar Politics - Concepts,5,8,79,Video,6,7.9,10.0,10.0,9.1,30,11.1
Alien Anthropology - Applications,4,7,69,Audio,6,7.8,10.0,10.0,8.9,27,5.2
Metallurgy - Workshop,6,6,94,Practical,6,7.4,10.0,10.0,8.8,7,17.0
Marine Biology - Intro,9,9,118,Practical,9,6.8,10.0,8.6,7.4,24,19.7
Dream Analysis - Workshop,6,6,85,Audio,6,7.7,9.8,9.5,8.3,13,19.7
Mathematical Music Theory - Intro,5,7,71,Video,3,9.0,10.0,9.7,8.6,17,9.1
Behavioral Economics - Lab,6,8,95,Text,5,7.5,10.0,10.0,8.8,30,15.9
Political Philosophy - Concepts,6,6,89,Video,3,8.6,10.0,10.0,9.4,10,6.1
Zero-Gravity Engineering - Applications,5,9,81,Video,9,7.1,10.0,9.6,9.0,9,8.4
Fictional Languages - Theory,3,7,57,Text,4,8.8,10.0,10.0,9.5,7,9.6
Speech Recognition - Theory,8,6,107,Video,7,7.1,10.0,10.0,8.9,18,3.8
Syntax and Semantics - Applications,5,8,79,Practical,6,8.6,10.0,9.9,8.3,16,20.7
Lunar Architecture - Theory,4,5,65,Practical,2,8.1,10.0,10.0,8.7,29,15.9
Bioinformatics - Lab,7,9,98,Video,7,6.7,10.0,9.8,8.9,13,11.2
Synthetic Biology - Applications,3,6,63,Text,4,8.4,10.0,10.0,9.0,12,11.8
Climate Modeling - Advanced,5,6,83,Video,1,8.4,10.0,10.0,9.2,26,0.0
Astrophysics - Lab,3,5,57,Text,5,7.7,10.0,9.5,8.1,23,18.4
Political Philosophy - Workshop,7,7,98,Text,7,7.6,10.0,10.0,9.0,28,9.4
Blockchain Security - Theory,6,5,80,Text,4,9.0,10.0,9.5,8.6,24,22.4
Neural Networks - Intro,6,7,81,Video,9,6.9,10.0,10.0,9.1,19,5.4
Interstellar Politics - Intro,7,6,97,Video,7,7.6,10.0,10.0,8.9,15,1.7
Ethical Hacking - Advanced,6,5,90,Text,7,7.7,10.0,9.8,9.2,29,8.9
Financial Markets - Theory,3,6,53,Text,5,7.2,10.0,10.0,9.2,7,7.8
Digital Archaeology - Applications,6,5,93,Video,6,8.0,10.0,10.0,8.7,10,10.8
Artificial Consciousness - Concepts,7,6,104,Video,2,8.9,10.0,10.0,9.6,27,0.0
Digital Marketing - Lab,7,6,95,Practical,5,7.6,10.0,10.0,9.4,20,1.5
Behavioral Economics - Intro,8,6,105,Video,6,7.2,10.0,9.9,8.6,25,11.4
Synthetic Biology - Lab,7,8,102,Audio,5,8.0,10.0,10.0,8.6,15,13.5
Evolutionary Biology - Intro,4,5,78,Audio,4,8.7,10.0,9.7,8.4,15,6.5
Cellular Automata - Theory,9,8,117,Video,10,7.0,10.0,10.0,9.0,20,16.8
Digital Archaeology - Concepts,3,6,64,Video,4,8.2,10.0,10.0,8.9,21,18.6
Political Philosophy - Lab,7,9,99,Practical,5,8.5,10.0,10.0,8.7,8,7.6
Cultural Studies - Theory,8,7,110,Practical,8,6.6,10.0,10.0,9.1,21,2.2
Antimatter - Lab,3,5,59,Text,1,9.0,10.0,9.7,8.8,25,7.0
Digital Humanities - Lab,8,5,114,Practical,7,8.3,10.0,10.0,9.4,20,9.3
Blockchain Security - Theory,4,7,79,Practical,4,8.9,10.0,10.0,9.3,29,6.2
Lunar Architecture - Concepts,3,8,64,Practical,9,6.4,10.0,9.8,8.7,12,12.4
Nanorobotics - Theory,5,7,74,Video,3,9.0,10.0,10.0,9.0,22,18.7
Psychoacoustics - Intro,9,9,118,Practical,8,6.8,10.0,9.5,8.7,14,14.3
Pharmacology - Applications,9,6,110,Audio,5,7.9,10.0,10.0,8.6,18,19.3
Interstellar Politics - Applications,4,7,80,Text,4,8.3,10.0,9.7,8.9,7,15.3
Virtual Reality Ethics - Concepts,4,7,71,Practical,9,6.1,10.0,10.0,9.1,14,10.6
Biomechanics - Workshop,6,6,85,Video,5,8.2,10.0,10.0,9.0,20,4.0
Ethical Hacking - Workshop,7,5,101,Video,3,9.0,10.0,9.2,8.2,7,18.2
Mathematical Music Theory - Lab,4,9,79,Practical,7,7.3,10.0,9.5,8.6,28,11.2
Mathematical Music Theory - Lab,9,7,115,Practical,7,7.1,10.0,10.0,9.3,19,8.9
Metallurgy - Lab,3,7,57,Practical,4,8.0,10.0,10.0,8.9,19,16.0
Lunar Architecture - Concepts,5,5,74,Practical,4,7.2,10.0,9.5,8.5,14,9.6
Quantum Theology - Intro,3,9,62,Video,5,6.8,10.0,10.0,8.9,29,10.9
Educational Psychology - Theory,9,6,119,Audio,9,7.7,9.7,8.9,7.9,25,26.3
Logic Circuits - Concepts,3,6,49,Practical,1,9.0,10.0,10.0,8.4,13,24.3
Syntax and Semantics - Advanced,5,8,81,Text,6,7.2,10.0,10.0,8.7,9,5.2
Dream Analysis - Theory,8,9,114,Practical,9,6.4,10.0,9.3,8.6,25,12.8
Zero-Gravity Engineering - Theory,6,9,87,Video,7,7.4,10.0,10.0,8.3,20,18.5
Pharmacology - Lab,9,7,119,Practical,5,7.9,10.0,9.3,8.4,27,16.0
Educational Psychology - Theory,7,8,98,Audio,5,8.2,10.0,10.0,9.2,24,4.9
Zero-Gravity Engineering - Lab,9,6,123,Text,6,7.1,10.0,10.0,9.2,18,0.0
Climate Modeling - Concepts,4,9,61,Practical,4,8.5,10.0,9.9,9.0,7,9.3
Pharmacology - Intro,7,9,96,Audio,8,7.4,10.0,10.0,9.2,26,1.5
Holographic Computing - Workshop,6,5,88,Text,7,7.3,10.0,9.6,8.5,19,14.3
Ancient Civilizations - Concepts,8,6,113,Text,7,7.8,10.0,10.0,8.8,10,16.6
Computational Linguistics - Advanced,5,5,80,Video,4,9.0,10.0,10.0,9.1,26,14.4
Quantum Entanglement - Advanced,7,8,93,Text,3,8.5,10.0,9.6,8.8,15,14.5
AI Narratives - Workshop,9,9,117,Practical,9,6.8,10.0,9.8,8.8,9,22.3
Digital Marketing - Lab,3,8,66,Video,3,8.8,10.0,10.0,9.0,12,18.6
Extraterrestrial Agriculture - Applications,4,5,63,Audio,3,8.9,10.0,10.0,9.5,13,0.0
Cultural Studies - Advanced,4,6,75,Video,3,9.0,10.0,9.9,8.7,13,13.3
Metallurgy - Concepts,8,9,114,Video,8,7.4,10.0,9.4,8.5,11,21.9
Photosynthesis - Applications,6,6,96,Text,6,8.1,10.0,10.0,8.7,24,17.2
Psychoacoustics - Concepts,6,8,95,Video,7,7.5,10.0,9.7,9.0,8,16.1
Quantum Computing - Workshop,5,7,86,Video,8,7.5,10.0,10.0,9.0,19,10.8
Climate Modeling - Intro,6,6,81,Video,5,8.4,10.0,10.0,8.7,19,0.6
Holographic Computing - Lab,7,6,106,Practical,6,7.6,10.0,10.0,8.7,21,19.3
Astrophysics - Theory,4,6,72,Audio,7,8.1,10.0,10.0,9.1,7,11.1
Nanorobotics - Lab,5,9,77,Audio,8,6.4,10.0,10.0,9.4,20,1.9
UX Design - Concepts,9,8,114,Video,10,6.6,10.0,9.7,8.6,7,12.5
Mathematical Music Theory - Advanced,6,8,90,Video,8,7.3,10.0,10.0,9.2,21,9.9
Creative Writing - Workshop,3,9,71,Text,10,6.5,10.0,9.6,8.8,22,5.1
Digital Archaeology - Advanced,4,6,72,Text,6,8.6,10.0,10.0,9.3,14,15.2
Fictional Languages - Applications,5,6,77,Video,3,8.6,10.0,10.0,8.6,29,12.4
Biomechanics - Lab,4,7,81,Text,6,8.4,10.0,10.0,9.2,18,3.0
UX Design - Theory,7,6,103,Practical,7,7.1,10.0,10.0,9.0,15,19.1
Game Development - Theory,8,5,113,Audio,5,7.9,10.0,10.0,9.3,22,1.1
Remote Sensing - Lab,6,6,91,Practical,5,8.1,10.0,10.0,8.7,22,9.8
Educational Psychology - Intro,8,7,112,Practical,7,7.3,10.0,10.0,9.0,18,10.8
Evolutionary Biology - Concepts,9,5,107,Practical,2,8.3,10.0,9.8,8.4,12,16.2
Immunology - Workshop,6,7,90,Video,1,9.0,10.0,10.0,9.2,18,7.4
Quantum Theology - Intro,8,5,113,Video,6,7.7,10.0,10.0,9.0,9,11.2
Synthetic Biology - Intro,5,7,87,Video,5,7.7,10.0,10.0,9.2,8,6.6
Evolutionary Biology - Applications,8,8,121,Practical,6,6.6,10.0,9.6,8.8,18,7.8
Mathematical Music Theory - Lab,6,7,95,Video,5,7.2,10.0,9.8,8.6,13,26.6
Astrophysics - Lab,8,9,111,Text,5,7.3,10.0,10.0,9.0,23,20.0
Educational Psychology - Workshop,7,9,100,Video,9,6.8,10.0,10.0,9.2,14,5.7
Behavioral Economics - Lab,5,8,76,Video,5,8.6,10.0,9.8,9.3,30,3.0
Lunar Architecture - Theory,4,7,72,Audio,5,7.6,10.0,10.0,9.0,15,13.1
Blockchain Security - Intro,6,8,99,Audio,8,7.4,10.0,10.0,9.1,13,10.1
Geospatial Analysis - Theory,9,7,118,Practical,7,6.9,10.0,10.0,8.7,9,0.1
Visual Perception - Intro,3,6,60,Audio,6,7.6,10.0,9.7,8.3,21,13.9
Mythology - Lab,8,8,106,Video,8,7.0,10.0,10.0,8.8,12,0.9
Philosophy of Mind - Workshop,7,9,105,Text,9,6.8,10.0,9.5,8.3,12,13.9
Digital Humanities - Intro,6,7,96,Audio,8,7.0,10.0,10.0,9.2,18,11.4
Astrophysics - Intro,5,6,76,Text,6,7.7,10.0,9.9,8.8,8,13.6
Digital Archaeology - Concepts,9,9,122,Video,8,7.5,10.0,9.9,8.7,10,2.9
Philosophy of Mind - Lab,9,7,106,Practical,8,7.4,10.0,10.0,9.1,8,7.4
Geospatial Analysis - Concepts,6,6,88,Video,3,8.7,10.0,10.0,8.7,9,15.0
Zero-Gravity Engineering - Lab,4,9,76,Text,7,7.5,10.0,9.8,8.9,13,16.3
Digital Archaeology - Concepts,4,9,67,Practical,8,6.7,10.0,9.9,8.9,14,11.3
