subject_/topic,complexity_1-10,relevance_1-10,study_time_mins,learning_method,stress_level,sleep_hours,recall_score_1hr,recall_score_1day,recall_score_1week,days_since_learning,forgetfulness_probability_%,memory_strength,predicted_retention_%
Photosynthesis - Theory,6,7,97,Practical,5,8.2,10.0,10.0,9.0,29,14.6,5.0,0.3
3D Animation - Theory,4,9,70,Video,7,8.1,10.0,9.6,8.6,10,16.0,5.0,13.53
Ethical Hacking - Lab,7,6,106,Audio,6,7.9,10.0,10.0,9.0,15,19.4,5.0,4.98
Creative Writing - Concepts,5,8,84,Audio,6,7.2,10.0,9.8,9.1,13,13.4,5.0,7.43
Remote Sensing - Applications,8,9,109,Text,7,7.2,10.0,9.8,8.9,24,12.1,5.0,0.82
Internet of Things - Theory,9,9,122,Practical,7,7.9,10.0,10.0,9.1,15,10.3,5.0,4.98
Metallurgy - Lab,5,7,77,Text,8,7.5,10.0,10.0,8.7,15,7.9,5.0,4.98
Computational Linguistics - Applications,7,6,99,Video,10,6.9,10.0,9.0,8.3,8,14.4,5.0,20.19
Computational Linguistics - Applications,4,7,66,Audio,4,8.7,10.0,10.0,8.8,30,11.9,5.0,0.25
Game Development - Applications,8,6,118,Text,5,8.2,10.0,10.0,8.9,29,14.8,5.0,0.3
Dream Analysis - Lab,4,9,70,Video,8,7.2,10.0,10.0,9.4,23,0.0,5.0,1.01
Zero-Gravity Engineering - Intro,5,5,84,Video,8,7.0,10.0,10.0,8.8,21,14.2,5.0,1.5
Extraterrestrial Agriculture - Applications,8,8,107,Text,10,7.0,10.0,9.5,8.3,18,13.4,5.0,2.73
Remote Sensing - Concepts,3,9,67,Audio,9,7.0,10.0,10.0,9.2,21,1.2,5.0,1.5
Quantum Entanglement - Applications,5,7,76,Video,8,6.1,10.0,10.0,9.0,23,5.4,5.0,1.01
Philosophy of Mind - Lab,8,8,109,Video,9,7.0,10.0,9.3,8.6,30,14.6,5.0,0.25
Photosynthesis - Intro,5,9,77,Text,9,7.3,10.0,9.9,8.4,19,18.1,5.0,2.24
Ethical Hacking - Theory,6,6,91,Video,6,7.3,10.0,9.4,8.4,16,18.1,5.0,4.08
Nanorobotics - Intro,5,7,76,Video,6,7.4,10.0,9.7,8.7,27,11.9,5.0,0.45
Logic Circuits - Advanced,9,9,122,Practical,10,6.5,10.0,9.5,8.4,25,14.5,5.0,0.67
Dream Analysis - Intro,3,6,61,Video,5,8.7,10.0,10.0,8.8,22,12.8,5.0,1.23
Holographic Computing - Intro,8,6,109,Video,5,7.8,10.0,8.7,7.6,9,15.7,5.0,16.53
Digital Marketing - Workshop,8,6,104,Video,8,6.9,10.0,10.0,9.0,20,10.8,5.0,1.83
Interstellar Politics - Concepts,5,8,79,Video,6,7.9,10.0,10.0,9.1,30,11.1,5.0,0.25
Alien Anthropology - Applications,4,7,69,Audio,6,7.8,10.0,10.0,8.9,27,5.2,5.0,0.45
Metallurgy - Workshop,6,6,94,Practical,6,7.4,10.0,10.0,8.8,7,17.0,5.0,24.66
Marine Biology - Intro,9,9,118,Practical,9,6.8,10.0,8.6,7.4,24,19.7,5.0,0.82
Dream Analysis - Workshop,6,6,85,Audio,6,7.7,9.8,9.5,8.3,13,19.7,4.771428571428572,6.56
Mathematical Music Theory - Intro,5,7,71,Video,3,9.0,10.0,9.7,8.6,17,9.1,5.0,3.34
Behavioral Economics - Lab,6,8,95,Text,5,7.5,10.0,10.0,8.8,30,15.9,5.0,0.25
Political Philosophy - Concepts,6,6,89,Video,3,8.6,10.0,10.0,9.4,10,6.1,5.0,13.53
Zero-Gravity Engineering - Applications,5,9,81,Video,9,7.1,10.0,9.6,9.0,9,8.4,5.0,16.53
Fictional Languages - Theory,3,7,57,Text,4,8.8,10.0,10.0,9.5,7,9.6,5.0,24.66
Speech Recognition - Theory,8,6,107,Video,7,7.1,10.0,10.0,8.9,18,3.8,5.0,2.73
Syntax and Semantics - Applications,5,8,79,Practical,6,8.6,10.0,9.9,8.3,16,20.7,5.0,4.08
Lunar Architecture - Theory,4,5,65,Practical,2,8.1,10.0,10.0,8.7,29,15.9,5.0,0.3
Bioinformatics - Lab,7,9,98,Video,7,6.7,10.0,9.8,8.9,13,11.2,5.0,7.43
Synthetic Biology - Applications,3,6,63,Text,4,8.4,10.0,10.0,9.0,12,11.8,5.0,9.07
Climate Modeling - Advanced,5,6,83,Video,1,8.4,10.0,10.0,9.2,26,0.0,5.0,0.55
Astrophysics - Lab,3,5,57,Text,5,7.7,10.0,9.5,8.1,23,18.4,5.0,1.01
Political Philosophy - Workshop,7,7,98,Text,7,7.6,10.0,10.0,9.0,28,9.4,5.0,0.37
Blockchain Security - Theory,6,5,80,Text,4,9.0,10.0,9.5,8.6,24,22.4,5.0,0.82
Neural Networks - Intro,6,7,81,Video,9,6.9,10.0,10.0,9.1,19,5.4,5.0,2.24
Interstellar Politics - Intro,7,6,97,Video,7,7.6,10.0,10.0,8.9,15,1.7,5.0,4.98
Ethical Hacking - Advanced,6,5,90,Text,7,7.7,10.0,9.8,9.2,29,8.9,5.0,0.3
Financial Markets - Theory,3,6,53,Text,5,7.2,10.0,10.0,9.2,7,7.8,5.0,24.66
Digital Archaeology - Applications,6,5,93,Video,6,8.0,10.0,10.0,8.7,10,10.8,5.0,13.53
Artificial Consciousness - Concepts,7,6,104,Video,2,8.9,10.0,10.0,9.6,27,0.0,5.0,0.45
Digital Marketing - Lab,7,6,95,Practical,5,7.6,10.0,10.0,9.4,20,1.5,5.0,1.83
Behavioral Economics - Intro,8,6,105,Video,6,7.2,10.0,9.9,8.6,25,11.4,5.0,0.67
Synthetic Biology - Lab,7,8,102,Audio,5,8.0,10.0,10.0,8.6,15,13.5,5.0,4.98
Evolutionary Biology - Intro,4,5,78,Audio,4,8.7,10.0,9.7,8.4,15,6.5,5.0,4.98
Cellular Automata - Theory,9,8,117,Video,10,7.0,10.0,10.0,9.0,20,16.8,5.0,1.83
Digital Archaeology - Concepts,3,6,64,Video,4,8.2,10.0,10.0,8.9,21,18.6,5.0,1.5
Political Philosophy - Lab,7,9,99,Practical,5,8.5,10.0,10.0,8.7,8,7.6,5.0,20.19
Cultural Studies - Theory,8,7,110,Practical,8,6.6,10.0,10.0,9.1,21,2.2,5.0,1.5
Antimatter - Lab,3,5,59,Text,1,9.0,10.0,9.7,8.8,25,7.0,5.0,0.67
Digital Humanities - Lab,8,5,114,Practical,7,8.3,10.0,10.0,9.4,20,9.3,5.0,1.83
Blockchain Security - Theory,4,7,79,Practical,4,8.9,10.0,10.0,9.3,29,6.2,5.0,0.3
Lunar Architecture - Concepts,3,8,64,Practical,9,6.4,10.0,9.8,8.7,12,12.4,5.0,9.07
Nanorobotics - Theory,5,7,74,Video,3,9.0,10.0,10.0,9.0,22,18.7,5.0,1.23
Psychoacoustics - Intro,9,9,118,Practical,8,6.8,10.0,9.5,8.7,14,14.3,5.0,6.08
Pharmacology - Applications,9,6,110,Audio,5,7.9,10.0,10.0,8.6,18,19.3,5.0,2.73
Interstellar Politics - Applications,4,7,80,Text,4,8.3,10.0,9.7,8.9,7,15.3,5.0,24.66
Virtual Reality Ethics - Concepts,4,7,71,Practical,9,6.1,10.0,10.0,9.1,14,10.6,5.0,6.08
Biomechanics - Workshop,6,6,85,Video,5,8.2,10.0,10.0,9.0,20,4.0,5.0,1.83
Ethical Hacking - Workshop,7,5,101,Video,3,9.0,10.0,9.2,8.2,7,18.2,5.0,24.66
Mathematical Music Theory - Lab,4,9,79,Practical,7,7.3,10.0,9.5,8.6,28,11.2,5.0,0.37
Mathematical Music Theory - Lab,9,7,115,Practical,7,7.1,10.0,10.0,9.3,19,8.9,5.0,2.24
Metallurgy - Lab,3,7,57,Practical,4,8.0,10.0,10.0,8.9,19,16.0,5.0,2.24
Lunar Architecture - Concepts,5,5,74,Practical,4,7.2,10.0,9.5,8.5,14,9.6,5.0,6.08
Quantum Theology - Intro,3,9,62,Video,5,6.8,10.0,10.0,8.9,29,10.9,5.0,0.3
Educational Psychology - Theory,9,6,119,Audio,9,7.7,9.7,8.9,7.9,25,26.3,4.657142857142857,0.47
Logic Circuits - Concepts,3,6,49,Practical,1,9.0,10.0,10.0,8.4,13,24.3,5.0,7.43
Syntax and Semantics - Advanced,5,8,81,Text,6,7.2,10.0,10.0,8.7,9,5.2,5.0,16.53
Dream Analysis - Theory,8,9,114,Practical,9,6.4,10.0,9.3,8.6,25,12.8,5.0,0.67
Zero-Gravity Engineering - Theory,6,9,87,Video,7,7.4,10.0,10.0,8.3,20,18.5,5.0,1.83
Pharmacology - Lab,9,7,119,Practical,5,7.9,10.0,9.3,8.4,27,16.0,5.0,0.45
Educational Psychology - Theory,7,8,98,Audio,5,8.2,10.0,10.0,9.2,24,4.9,5.0,0.82
Zero-Gravity Engineering - Lab,9,6,123,Text,6,7.1,10.0,10.0,9.2,18,0.0,5.0,2.73
Climate Modeling - Concepts,4,9,61,Practical,4,8.5,10.0,9.9,9.0,7,9.3,5.0,24.66
Pharmacology - Intro,7,9,96,Audio,8,7.4,10.0,10.0,9.2,26,1.5,5.0,0.55
Holographic Computing - Workshop,6,5,88,Text,7,7.3,10.0,9.6,8.5,19,14.3,5.0,2.24
Ancient Civilizations - Concepts,8,6,113,Text,7,7.8,10.0,10.0,8.8,10,16.6,5.0,13.53
Computational Linguistics - Advanced,5,5,80,Video,4,9.0,10.0,10.0,9.1,26,14.4,5.0,0.55
Quantum Entanglement - Advanced,7,8,93,Text,3,8.5,10.0,9.6,8.8,15,14.5,5.0,4.98
AI Narratives - Workshop,9,9,117,Practical,9,6.8,10.0,9.8,8.8,9,22.3,5.0,16.53
Digital Marketing - Lab,3,8,66,Video,3,8.8,10.0,10.0,9.0,12,18.6,5.0,9.07
Extraterrestrial Agriculture - Applications,4,5,63,Audio,3,8.9,10.0,10.0,9.5,13,0.0,5.0,7.43
Cultural Studies - Advanced,4,6,75,Video,3,9.0,10.0,9.9,8.7,13,13.3,5.0,7.43
Metallurgy - Concepts,8,9,114,Video,8,7.4,10.0,9.4,8.5,11,21.9,5.0,11.08
Photosynthesis - Applications,6,6,96,Text,6,8.1,10.0,10.0,8.7,24,17.2,5.0,0.82
Psychoacoustics - Concepts,6,8,95,Video,7,7.5,10.0,9.7,9.0,8,16.1,5.0,20.19
Quantum Computing - Workshop,5,7,86,Video,8,7.5,10.0,10.0,9.0,19,10.8,5.0,2.24
Climate Modeling - Intro,6,6,81,Video,5,8.4,10.0,10.0,8.7,19,0.6,5.0,2.24
Holographic Computing - Lab,7,6,106,Practical,6,7.6,10.0,10.0,8.7,21,19.3,5.0,1.5
Astrophysics - Theory,4,6,72,Audio,7,8.1,10.0,10.0,9.1,7,11.1,5.0,24.66
Nanorobotics - Lab,5,9,77,Audio,8,6.4,10.0,10.0,9.4,20,1.9,5.0,1.83
UX Design - Concepts,9,8,114,Video,10,6.6,10.0,9.7,8.6,7,12.5,5.0,24.66
Mathematical Music Theory - Advanced,6,8,90,Video,8,7.3,10.0,10.0,9.2,21,9.9,5.0,1.5
Creative Writing - Workshop,3,9,71,Text,10,6.5,10.0,9.6,8.8,22,5.1,5.0,1.23
Digital Archaeology - Advanced,4,6,72,Text,6,8.6,10.0,10.0,9.3,14,15.2,5.0,6.08
Fictional Languages - Applications,5,6,77,Video,3,8.6,10.0,10.0,8.6,29,12.4,5.0,0.3
Biomechanics - Lab,4,7,81,Text,6,8.4,10.0,10.0,9.2,18,3.0,5.0,2.73
UX Design - Theory,7,6,103,Practical,7,7.1,10.0,10.0,9.0,15,19.1,5.0,4.98
Game Development - Theory,8,5,113,Audio,5,7.9,10.0,10.0,9.3,22,1.1,5.0,1.23
Remote Sensing - Lab,6,6,91,Practical,5,8.1,10.0,10.0,8.7,22,9.8,5.0,1.23
Educational Psychology - Intro,8,7,112,Practical,7,7.3,10.0,10.0,9.0,18,10.8,5.0,2.73
Evolutionary Biology - Concepts,9,5,107,Practical,2,8.3,10.0,9.8,8.4,12,16.2,5.0,9.07
Immunology - Workshop,6,7,90,Video,1,9.0,10.0,10.0,9.2,18,7.4,5.0,2.73
Quantum Theology - Intro,8,5,113,Video,6,7.7,10.0,10.0,9.0,9,11.2,5.0,16.53
Synthetic Biology - Intro,5,7,87,Video,5,7.7,10.0,10.0,9.2,8,6.6,5.0,20.19
Evolutionary Biology - Applications,8,8,121,Practical,6,6.6,10.0,9.6,8.8,18,7.8,5.0,2.73
Mathematical Music Theory - Lab,6,7,95,Video,5,7.2,10.0,9.8,8.6,13,26.6,5.0,7.43
Astrophysics - Lab,8,9,111,Text,5,7.3,10.0,10.0,9.0,23,20.0,5.0,1.01
Educational Psychology - Workshop,7,9,100,Video,9,6.8,10.0,10.0,9.2,14,5.7,5.0,6.08
Behavioral Economics - Lab,5,8,76,Video,5,8.6,10.0,9.8,9.3,30,3.0,5.0,0.25
Lunar Architecture - Theory,4,7,72,Audio,5,7.6,10.0,10.0,9.0,15,13.1,5.0,4.98
Blockchain Security - Intro,6,8,99,Audio,8,7.4,10.0,10.0,9.1,13,10.1,5.0,7.43
Geospatial Analysis - Theory,9,7,118,Practical,7,6.9,10.0,10.0,8.7,9,0.1,5.0,16.53
Visual Perception - Intro,3,6,60,Audio,6,7.6,10.0,9.7,8.3,21,13.9,5.0,1.5
Mythology - Lab,8,8,106,Video,8,7.0,10.0,10.0,8.8,12,0.9,5.0,9.07
Philosophy of Mind - Workshop,7,9,105,Text,9,6.8,10.0,9.5,8.3,12,13.9,5.0,9.07
Digital Humanities - Intro,6,7,96,Audio,8,7.0,10.0,10.0,9.2,18,11.4,5.0,2.73
Astrophysics - Intro,5,6,76,Text,6,7.7,10.0,9.9,8.8,8,13.6,5.0,20.19
Digital Archaeology - Concepts,9,9,122,Video,8,7.5,10.0,9.9,8.7,10,2.9,5.0,13.53
Philosophy of Mind - Lab,9,7,106,Practical,8,7.4,10.0,10.0,9.1,8,7.4,5.0,20.19
Geospatial Analysis - Concepts,6,6,88,Video,3,8.7,10.0,10.0,8.7,9,15.0,5.0,16.53
Zero-Gravity Engineering - Lab,4,9,76,Text,7,7.5,10.0,9.8,8.9,13,16.3,5.0,7.43
Digital Archaeology - Concepts,4,9,67,Practical,8,6.7,10.0,9.9,8.9,14,11.3,5.0,6.08
Zero-Gravity Engineering - Lab,4,6,63,Video,3,8.4,10.0,10.0,8.8,17,13.7,5.0,3.34
Political Philosophy - Workshop,7,9,103,Video,10,6.5,10.0,9.4,8.8,7,9.1,5.0,24.66
Behavioral Economics - Intro,9,7,119,Audio,7,7.5,10.0,10.0,9.1,14,6.0,5.0,6.08
Neural Networks - Applications,6,7,90,Audio,7,6.8,10.0,10.0,8.3,19,14.4,5.0,2.24
Zero-Gravity Engineering - Lab,6,9,91,Text,5,6.9,10.0,10.0,9.5,30,5.1,5.0,0.25
Financial Markets - Theory,9,5,124,Practical,2,8.9,10.0,10.0,8.7,13,5.0,5.0,7.43
Mathematical Music Theory - Advanced,5,6,85,Text,7,6.9,10.0,10.0,9.2,29,1.7,5.0,0.3
Neural Networks - Concepts,3,5,61,Text,3,9.0,10.0,10.0,9.3,9,9.1,5.0,16.53
Synthetic Biology - Concepts,4,7,75,Video,7,7.7,10.0,9.8,8.9,15,10.4,5.0,4.98
Ethical Hacking - Intro,3,9,59,Video,5,8.3,10.0,10.0,9.5,25,0.1,5.0,0.67
Geospatial Analysis - Lab,9,8,121,Text,6,7.0,10.0,9.7,8.9,13,11.3,5.0,7.43
Agile Methodologies - Intro,9,8,120,Text,10,6.9,10.0,9.4,8.1,30,15.6,5.0,0.25
Astrophysics - Workshop,3,5,54,Video,3,8.3,10.0,9.3,7.9,24,22.8,5.0,0.82
Extraterrestrial Agriculture - Lab,4,5,77,Practical,4,8.7,10.0,9.8,9.1,26,9.7,5.0,0.55
Visual Perception - Lab,4,5,70,Text,4,8.7,10.0,9.7,8.8,26,11.0,5.0,0.55
Epidemiology - Intro,5,7,87,Text,3,7.8,10.0,10.0,8.9,29,5.4,5.0,0.3
Visual Perception - Workshop,7,7,102,Practical,8,6.6,10.0,10.0,8.8,28,7.9,5.0,0.37
Moral Philosophy - Advanced,4,9,72,Video,7,8.1,10.0,10.0,8.6,21,10.5,5.0,1.5
Behavioral Economics - Applications,3,7,64,Video,6,7.0,10.0,9.5,8.6,28,8.2,5.0,0.37
Evolutionary Biology - Intro,9,9,121,Video,7,7.7,10.0,10.0,9.0,28,10.3,5.0,0.37
Financial Markets - Applications,5,9,76,Video,3,8.1,10.0,10.0,9.4,18,7.3,5.0,2.73
Photosynthesis - Advanced,6,5,89,Practical,6,8.3,10.0,9.7,8.9,15,16.4,5.0,4.98
Climate Modeling - Lab,9,8,125,Text,10,6.4,10.0,9.8,8.9,21,10.4,5.0,1.5
Compiler Design - Intro,5,5,83,Video,1,9.0,10.0,10.0,9.2,19,8.2,5.0,2.24
Political Philosophy - Concepts,4,7,65,Text,2,9.0,10.0,10.0,8.8,17,8.1,5.0,3.34
Pharmacology - Advanced,9,6,121,Video,6,8.5,10.0,9.1,7.5,26,23.8,5.0,0.55
Remote Sensing - Lab,8,7,105,Text,4,8.2,10.0,10.0,9.3,21,8.9,5.0,1.5
Neural Networks - Intro,4,8,70,Video,5,8.3,10.0,10.0,9.1,24,8.5,5.0,0.82
Syntax and Semantics - Theory,7,7,105,Audio,7,7.4,10.0,10.0,9.0,8,21.0,5.0,20.19
Political Philosophy - Advanced,5,8,77,Audio,7,8.3,10.0,10.0,8.5,18,10.6,5.0,2.73
Logic Circuits - Concepts,4,6,69,Practical,6,8.4,10.0,9.8,8.9,10,2.6,5.0,13.53
Syntax and Semantics - Theory,3,6,55,Practical,4,8.4,10.0,10.0,9.0,16,5.8,5.0,4.08
Political Philosophy - Workshop,3,9,63,Video,8,7.4,10.0,10.0,9.0,15,17.8,5.0,4.98
Evolutionary Biology - Intro,5,7,80,Video,2,9.0,10.0,10.0,8.7,20,20.1,5.0,1.83
Epidemiology - Concepts,9,9,116,Text,6,7.4,10.0,10.0,8.7,22,11.4,5.0,1.23
Quantum Theology - Intro,7,5,102,Text,6,7.6,10.0,9.8,8.9,7,11.4,5.0,24.66
Phonetics - Applications,8,5,109,Text,4,8.8,10.0,10.0,9.2,18,13.3,5.0,2.73
Educational Psychology - Advanced,5,5,82,Practical,4,7.6,10.0,10.0,8.8,8,18.0,5.0,20.19
Climate Modeling - Intro,7,5,95,Practical,6,8.0,10.0,9.1,7.7,21,11.9,5.0,1.5
Forensic Science - Intro,3,5,58,Video,2,9.0,10.0,10.0,9.5,29,6.6,5.0,0.3
Geospatial Analysis - Lab,4,7,70,Video,4,7.9,10.0,10.0,9.1,20,16.5,5.0,1.83
Internet of Things - Concepts,6,9,93,Audio,6,8.3,10.0,10.0,9.0,17,12.2,5.0,3.34
Cellular Automata - Theory,4,9,65,Video,8,7.3,10.0,9.8,9.4,29,0.0,5.0,0.3
Behavioral Economics - Intro,3,8,60,Video,6,7.4,10.0,10.0,9.2,7,18.9,5.0,24.66
Molecular Biology - Applications,8,5,114,Video,8,6.4,10.0,10.0,9.0,22,13.5,5.0,1.23
Ethical Hacking - Applications,9,6,120,Text,7,7.2,10.0,9.7,9.0,30,2.8,5.0,0.25
Artificial Consciousness - Theory,3,8,58,Practical,5,7.5,10.0,10.0,9.4,13,3.3,5.0,7.43
UX Design - Workshop,4,8,67,Video,8,6.9,10.0,9.6,8.5,19,18.7,5.0,2.24
Quantum Computing - Advanced,4,7,67,Practical,3,8.4,10.0,9.9,8.8,8,10.0,5.0,20.19
Cognitive Robotics - Applications,8,8,111,Video,10,7.1,10.0,10.0,9.2,23,14.9,5.0,1.01
Relativity Theory - Applications,8,6,100,Practical,7,6.7,10.0,9.7,8.6,24,18.5,5.0,0.82
Forensic Science - Theory,3,9,57,Video,6,7.2,10.0,9.8,9.5,29,7.4,5.0,0.3
Quantum Theology - Theory,4,8,72,Practical,4,8.1,10.0,10.0,8.8,20,7.8,5.0,1.83
Antimatter - Advanced,9,7,123,Practical,10,7.8,10.0,9.7,8.3,10,18.7,5.0,13.53
Nanorobotics - Advanced,6,5,85,Text,7,6.6,10.0,10.0,8.6,12,24.8,5.0,9.07
Behavioral Neuroscience - Applications,6,6,86,Text,3,7.6,10.0,9.5,8.5,22,18.4,5.0,1.23
Financial Markets - Concepts,5,5,80,Practical,5,8.6,10.0,9.9,8.6,27,17.7,5.0,0.45
Speech Recognition - Applications,6,8,93,Text,5,7.7,10.0,9.8,8.9,17,4.2,5.0,3.34
Behavioral Neuroscience - Lab,3,9,58,Audio,5,7.6,10.0,9.4,8.1,21,17.2,5.0,1.5
Mythology - Intro,3,7,59,Audio,1,9.0,10.0,10.0,9.3,14,7.3,5.0,6.08
Behavioral Neuroscience - Advanced,5,6,81,Text,5,8.3,10.0,9.7,8.7,13,13.5,5.0,7.43
Virtual Reality Ethics - Applications,9,9,114,Audio,9,7.2,7.7,8.8,7.3,20,32.1,2.371428571428572,0.02
Ethical Hacking - Theory,7,6,108,Video,7,7.7,10.0,10.0,8.9,21,5.4,5.0,1.5
Astrophysics - Applications,9,7,120,Video,7,7.1,10.0,10.0,8.8,13,13.4,5.0,7.43
Ethical Hacking - Theory,5,7,78,Audio,5,8.3,10.0,10.0,8.9,17,11.7,5.0,3.34
Alien Anthropology - Advanced,7,8,105,Practical,3,8.8,10.0,10.0,9.1,17,16.0,5.0,3.34
Artificial Consciousness - Advanced,7,6,100,Video,8,7.8,10.0,9.8,8.4,15,17.3,5.0,4.98
Neural Networks - Advanced,4,8,69,Practical,2,9.0,10.0,10.0,9.3,26,4.3,5.0,0.55
Immunology - Applications,8,6,111,Text,7,6.9,10.0,9.9,9.1,25,0.0,5.0,0.67
Ethical Hacking - Intro,6,6,90,Audio,5,8.8,10.0,10.0,8.9,25,10.3,5.0,0.67
Forensic Science - Applications,9,5,116,Text,8,6.9,10.0,10.0,8.5,27,15.2,5.0,0.45
Game Development - Intro,7,8,105,Video,7,6.7,10.0,10.0,9.5,16,4.5,5.0,4.08
Quantum Entanglement - Lab,4,6,62,Video,3,9.0,10.0,10.0,9.4,9,12.5,5.0,16.53
Holographic Computing - Lab,5,6,77,Video,6,8.1,10.0,10.0,9.0,15,13.5,5.0,4.98
Mythology - Lab,5,7,89,Text,5,7.0,10.0,10.0,8.9,22,8.5,5.0,1.23
Cellular Automata - Advanced,9,5,120,Practical,6,7.4,10.0,10.0,8.9,20,8.2,5.0,1.83
Ethical Hacking - Concepts,9,7,112,Practical,8,6.7,10.0,9.8,8.7,23,13.9,5.0,1.01
Mathematical Music Theory - Advanced,7,8,105,Text,9,6.5,10.0,10.0,9.2,12,2.6,5.0,9.07
Artificial Consciousness - Applications,9,8,118,Video,7,8.3,10.0,9.9,9.0,13,8.9,5.0,7.43
Internet of Things - Concepts,4,6,64,Text,5,7.9,10.0,10.0,9.0,7,10.0,5.0,24.66
Educational Psychology - Workshop,3,9,65,Practical,6,7.5,10.0,9.8,8.3,27,13.4,5.0,0.45
Game Development - Concepts,9,7,125,Video,7,7.9,10.0,10.0,8.6,20,12.8,5.0,1.83
Antimatter - Applications,8,8,117,Video,6,7.5,10.0,9.6,8.0,18,15.8,5.0,2.73
Mythology - Advanced,8,6,105,Audio,4,9.0,10.0,10.0,9.0,12,22.7,5.0,9.07
Relativity Theory - Applications,6,6,89,Text,7,7.5,10.0,10.0,9.2,10,16.5,5.0,13.53
Molecular Biology - Advanced,7,7,98,Text,5,8.5,10.0,10.0,9.3,26,5.5,5.0,0.55
Marine Biology - Workshop,3,6,55,Video,1,9.0,10.0,10.0,8.9,27,6.0,5.0,0.45
Lunar Architecture - Lab,6,5,92,Practical,5,7.6,10.0,9.7,8.5,11,0.2,5.0,11.08
Geospatial Analysis - Workshop,3,9,65,Practical,7,7.8,10.0,9.8,8.3,28,9.9,5.0,0.37
Synthetic Biology - Workshop,8,7,107,Practical,9,6.5,10.0,10.0,9.3,20,11.8,5.0,1.83
Neural Networks - Lab,4,7,70,Text,1,9.0,10.0,10.0,9.3,9,6.3,5.0,16.53
Agile Methodologies - Applications,9,7,120,Practical,8,6.2,10.0,10.0,8.7,21,14.3,5.0,1.5
Climate Modeling - Lab,7,6,105,Audio,7,7.1,10.0,9.5,8.8,26,14.8,5.0,0.55
Political Philosophy - Intro,3,6,60,Video,5,8.7,10.0,9.5,8.5,27,12.8,5.0,0.45
Agile Methodologies - Applications,3,7,60,Practical,4,8.7,10.0,10.0,8.5,24,20.7,5.0,0.82
Artificial Consciousness - Lab,3,7,64,Audio,8,6.9,10.0,10.0,8.7,18,15.5,5.0,2.73
Compiler Design - Concepts,8,5,110,Audio,9,6.9,10.0,9.1,8.0,26,19.1,5.0,0.55
Philosophy of Mind - Advanced,7,8,97,Audio,7,7.8,10.0,9.4,8.3,29,16.5,5.0,0.3
AI Narratives - Intro,4,5,64,Practical,3,9.0,10.0,10.0,9.6,22,9.6,5.0,1.23
Moral Philosophy - Lab,4,7,66,Practical,6,7.9,10.0,9.9,8.4,10,20.0,5.0,13.53
Philosophy of Mind - Theory,3,6,61,Text,5,8.5,10.0,10.0,9.5,30,0.0,5.0,0.25
Fictional Languages - Concepts,4,6,63,Practical,5,7.9,10.0,10.0,9.2,7,14.3,5.0,24.66
Remote Sensing - Applications,6,7,91,Practical,6,7.0,10.0,9.3,8.5,15,16.5,5.0,4.98
Antimatter - Workshop,4,8,62,Video,9,6.3,10.0,10.0,9.0,11,7.9,5.0,11.08
Relativity Theory - Intro,3,9,55,Text,9,6.6,10.0,9.5,8.7,24,8.6,5.0,0.82
Forensic Science - Advanced,6,9,93,Video,9,5.8,10.0,10.0,9.2,28,6.8,5.0,0.37
Philosophy of Mind - Applications,7,5,97,Practical,7,6.8,10.0,10.0,9.2,10,7.9,5.0,13.53
Astrophysics - Advanced,5,8,81,Audio,8,6.6,10.0,9.9,8.0,14,15.4,5.0,6.08
Molecular Biology - Advanced,8,9,109,Video,8,6.4,10.0,10.0,9.1,30,10.6,5.0,0.25
Behavioral Neuroscience - Workshop,4,8,77,Video,6,6.9,10.0,9.0,7.9,16,15.1,5.0,4.08
3D Animation - Theory,9,6,120,Practical,8,8.0,10.0,9.7,8.5,13,2.8,5.0,7.43
Logic Circuits - Concepts,6,6,84,Practical,8,7.6,10.0,10.0,9.0,9,10.3,5.0,16.53
Antimatter - Advanced,5,8,83,Text,7,7.3,10.0,10.0,9.4,16,8.7,5.0,4.08
Metallurgy - Intro,7,7,94,Video,8,7.2,10.0,10.0,8.7,22,17.4,5.0,1.23
Agile Methodologies - Advanced,5,9,84,Practical,6,7.5,10.0,10.0,9.0,26,15.9,5.0,0.55
Neural Networks - Advanced,7,9,103,Text,9,6.6,10.0,10.0,9.2,9,0.0,5.0,16.53
Synthetic Biology - Lab,3,6,61,Text,5,8.5,10.0,10.0,9.3,23,8.1,5.0,1.01
Forensic Science - Concepts,3,5,63,Audio,2,9.0,10.0,10.0,9.0,29,14.5,5.0,0.3
Internet of Things - Theory,8,9,115,Video,9,6.3,10.0,9.1,7.5,16,25.3,5.0,4.08
Pharmacology - Workshop,8,6,109,Text,9,7.4,10.0,10.0,9.1,30,8.7,5.0,0.25
Synthetic Biology - Concepts,7,6,100,Practical,3,8.8,10.0,10.0,9.5,17,7.4,5.0,3.34
Cognitive Robotics - Theory,5,8,81,Video,3,9.0,10.0,10.0,9.0,14,15.6,5.0,6.08
Logic Circuits - Concepts,8,8,106,Video,8,7.2,10.0,10.0,8.6,14,14.1,5.0,6.08
Antimatter - Concepts,4,8,67,Video,6,7.7,10.0,10.0,8.8,21,13.4,5.0,1.5
Syntax and Semantics - Concepts,5,5,80,Audio,3,8.5,10.0,10.0,9.2,23,4.5,5.0,1.01
Phonetics - Theory,8,9,109,Video,9,7.1,10.0,10.0,9.4,7,2.0,5.0,24.66
